,IsHomeTeamRegulars,AwayTeamLast1Match,TotalGoalsDifference,Difference1MatchPoints,DifferenceInShoots,DifferenceInCorners,DifferenceInLastYearPosition,HomeTeamShootsMade,HomeTeamTargetShootsMade,AwayTeamTargetShootsMade,HomeTeamCorners,FTR
2589,0.0,1.0,-0.7315908495413267,-1.4858563898424724,-0.8188385596654925,0.646008114746225,0.7427987402853246,0.2469135802469136,0.2882882882882883,0.32432432432432434,0.576271186440678,0.0
2590,0.0,1.0,-1.5183948532123153,-1.4858563898424724,-0.7234668823612896,-0.4566156449987787,1.4882328536988787,0.35648148148148145,0.26013513513513514,0.22297297297297294,0.5152542372881356,0.0
2591,0.0,0.0,-0.7315908495413267,0.11935493886276302,-0.1376122932069012,0.01593739489193716,-0.996547524346302,0.3055555555555555,0.33445945945945943,0.26013513513513514,0.6,1.0
2592,0.0,1.0,-2.786023525793352,-1.4858563898424724,-0.7779649836779771,-1.9687853726490696,0.8670377591875835,0.2037037037037037,0.1858108108108108,0.4459459459459459,0.4271186440677966,0.0
2593,0.0,1.0,1.4102644937852526,0.11935493886276302,0.7752309038476113,-0.9921757568749234,-0.499591448737266,0.4328703703703704,0.2972972972972973,0.1858108108108108,0.5220338983050847,0.0
2594,0.0,0.0,0.09892448766693883,0.11935493886276302,0.09400463738901987,1.6856248025058,-1.2450255621508202,0.10185185185185183,0.0,0.2972972972972973,0.7152542372881355,0.0
2595,0.0,0.0,-0.6878795160040496,1.7245662675679985,0.28474799199742545,0.8980364026879402,0.4943207024808065,0.3055555555555555,0.26013513513513514,0.1858108108108108,0.5423728813559322,0.0
2596,1.0,0.3333333333333333,1.0168624919497586,0.11935493886276302,1.0749704610893915,0.5830010427607962,-0.8723085054440431,0.3055555555555555,0.33445945945945943,0.26013513513513514,0.6847457627118644,0.0
2597,1.0,0.3333333333333333,1.2354191596361443,0.11935493886276302,1.8515684048521857,1.0555540826515122,-0.8723085054440431,0.4328703703703704,0.33445945945945943,0.11148648648648647,0.6779661016949152,1.0
2598,1.0,0.3333333333333333,0.7545944907260959,0.11935493886276302,1.6199514742562646,0.8665328666952258,-0.3753524298350068,0.3310185185185185,0.26013513513513514,0.40878378378378377,0.7491525423728813,1.0
2599,1.0,1.0,2.2844911645307957,0.11935493886276302,1.1022195117477351,1.5596106585349423,-1.9904596755643744,0.4837962962962963,0.3716216216216216,0.1858108108108108,0.7050847457627119,0.0
2600,1.0,0.3333333333333333,-0.5567455153922182,0.11935493886276302,-0.9823328636155544,-1.527735868751068,0.4943207024808065,0.2623456790123457,0.19144144144144146,0.11486486486486484,0.5694915254237288,0.0
2601,1.0,0.0,2.6778931663662893,0.11935493886276302,1.8379438795230136,-0.4881191809914931,-0.499591448737266,0.4984567901234568,0.4594594594594594,0.07657657657657657,0.6745762711864406,1.0
2602,0.0,1.0,-2.2614875233460263,-1.4858563898424724,-2.549153276470314,-1.8427712286782119,1.1155157969921017,0.10493827160493828,0.11486486486486484,0.3828828828828829,0.5694915254237288,0.0
2603,0.0,1.0,-2.523755524569689,0.11935493886276302,-2.6853985297620326,-1.2442040448166385,1.8609499104056562,0.2623456790123457,0.2297297297297297,0.268018018018018,0.559322033898305,0.0
2604,0.0,1.0,0.18634715474149308,-0.9507859469407272,-0.055865141231870204,0.07894446687736595,0.6185597213830655,0.41975308641975306,0.3828828828828829,0.34459459459459457,0.6474576271186441,0.0
2605,0.0,0.0,2.2844911645307957,0.11935493886276302,0.9932233091143604,1.6856248025058,-0.3753524298350068,0.3148148148148148,0.3063063063063063,0.3063063063063063,0.6169491525423728,1.0
2606,0.0,0.3333333333333333,-0.9938588507649896,0.11935493886276302,-1.1322026422364444,-1.3072111168020673,1.6124718726011378,0.3410493827160493,0.268018018018018,0.4594594594594594,0.5491525423728814,0.0
2607,0.0,0.3333333333333333,1.3665531602479757,1.1894958246662537,0.6798592265434085,0.8980364026879402,-0.8723085054440431,0.41975308641975306,0.34459459459459457,0.2297297297297297,0.6474576271186441,1.0
2608,0.0,0.3333333333333333,-0.6441681824667724,1.1894958246662537,-1.486440300794912,-0.6771403969477795,0.6185597213830655,0.41975308641975306,0.3828828828828829,0.2297297297297297,0.4542372881355932,1.0
2609,0.0,0.0,0.05521315412966167,0.6544253817645083,0.3664951439724564,0.9925470106660832,-0.623830467639525,0.20987654320987653,0.15315315315315314,0.3063063063063063,0.6677966101694914,1.0
