,FTR,HomeTeam,AwayTeam,HomeTeamWinStreak3,HomeTeamWinStreak5,HomeTeamLossStreak3,HomeTeamLossStreak5,AwayTeamWinStreak3,AwayTeamWinStreak5,AwayTeamLossStreak3,AwayTeamLossStreak5,IsHomeTeamRegulars,IsAwayTeamRegulars,IsHomeTeamRookie,IsAwayTeamRookie,HomeTeamWinRatio_Cat,AwayTeamWinRatio_Cat,HomeTeamPointsFromLast3Matches,AwayTeamPointsFromLast3Matches,HomeTeamPointsFromLast5Matches,AwayTeamPointsFromLast5Matches,HomeTeamPointsFromLast10Matches,AwayTeamPointsFromLast10Matches,HomeTeamLast1Match,AwayTeamLast1Match,HomeTeamLast2Match,AwayTeamLast2Match,HomeTeamLast3Match,AwayTeamLast3Match,HomeTeamLast4Match,AwayTeamLast4Match,HomeTeamLast5Match,AwayTeamLast5Match,HomeTeamLastYearPosition,AwayTeamLastYearPosition,HomeTeamGoalsDifference_Cat,AwayTeamGoalsDifference_Cat,TotalGoalsDifference_Cat,DifferenceTotalPoints_Cat,Difference10MatchesPoints_Cat,DifferenceInShoots_Cat,DifferenceInTargetShoots_Cat,DifferenceInCorners_Cat,HomeTeamTargetShootsMade_Cat,AwayTeamTargetShootsMade_Cat,HomeTeamGoalsScored_Cat,AwayTeamGoalsScored_Cat,HomeTeamGoalsLost_Cat,AwayTeamGoalsLost_Cat,HomeTeamShootsMade_Cat,AwayTeamShootsMade_Cat,HomeTeamCorners_Cat,AwayTeamCorners_Cat,HomeTeamTotalPoints_Cat,AwayTeamTotalPoints_Cat
1000,0,Bolton,Wolves,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,6,1,6,1,1,0,3,0,1,1,0,0,1,0,17.0,18.0,3,2,5,5,5,5,5,3,0,0,0,0,0,1,0,0,0,0,0,0
1001,1,Chelsea,Aston Villa,0,0,0,0,0,0,0,0,1,0,0,0,3,5,9,6,13,7,16,7,3,3,3,0,3,3,1,0,3,1,4.0,16.0,4,3,5,6,6,5,5,2,0,0,1,0,0,0,0,0,0,1,1,0
1002,0,Leicester,Man United,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,4,4,10,5,13,0,1,3,3,0,0,1,3,0,3,18.0,1.0,3,3,4,4,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1
1003,0,Southampton,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,11,4,12,4,3,3,3,0,3,0,1,1,1,0,8.0,11.0,3,3,5,6,6,4,5,3,0,0,0,0,0,1,0,0,0,0,1,0
1004,0,Blackburn,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5,8,8,11,3,3,0,1,1,1,0,3,1,0,6.0,14.0,3,3,4,5,4,4,4,3,0,0,1,0,1,0,0,0,0,0,0,1
1005,1,Charlton,Liverpool,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,5,11,5,11,0,3,0,3,1,3,1,1,3,1,12.0,5.0,3,3,4,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1
1006,1,Everton,Leeds,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,5,4,5,5,0,0,1,0,0,3,1,1,3,0,7.0,15.0,3,3,4,5,4,4,5,3,0,0,0,0,1,1,0,0,0,0,0,0
1007,0,Man City,Tottenham,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,0,8,4,11,4,1,0,3,0,0,0,3,1,1,3,9.0,10.0,4,3,5,6,6,4,5,3,0,0,1,0,0,1,0,0,0,0,0,0
1008,1,Fulham,Leicester,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,3,8,4,11,5,3,0,1,3,1,0,3,1,0,0,14.0,18.0,3,3,4,6,6,5,5,3,0,0,1,0,0,0,0,0,0,0,0,0
1009,1,Leeds,Blackburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,8,0,3,0,0,3,1,1,0,0,1,15.0,6.0,3,3,4,5,4,4,4,2,0,0,0,1,1,1,0,0,0,0,0,0
1010,0,Liverpool,Arsenal,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,5,10,11,11,17,0,3,3,1,3,1,3,3,1,3,5.0,2.0,3,4,4,4,3,5,5,3,0,0,0,1,0,0,0,0,0,0,0,1
1011,1,Man United,Birmingham,0,0,0,0,0,0,0,0,1,0,0,0,3,0,7,6,10,10,16,14,3,0,1,3,3,3,0,1,3,3,1.0,13.0,4,3,5,5,5,5,5,3,0,0,1,0,0,0,0,0,0,0,1,1
1012,1,Newcastle,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,10,6,12,3,0,0,3,1,3,1,3,0,1,3.0,8.0,3,3,4,4,3,4,4,3,0,0,0,0,0,0,0,0,0,1,0,1
1013,0,Portsmouth,Charlton,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,3,5,5,9,8,0,3,0,0,1,0,1,1,3,1,18.0,12.0,3,3,4,5,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
1014,1,Tottenham,Everton,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,4,2,5,5,8,1,3,0,0,0,1,0,0,1,1,10.0,7.0,3,3,4,5,4,4,4,2,0,0,0,0,1,0,0,0,0,1,0,0
1015,1,Wolves,Man City,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,8,2,12,1,1,0,1,0,3,1,0,0,3,18.0,9.0,2,3,3,4,3,4,4,2,0,0,0,1,1,0,0,0,0,0,0,1
